case,component_index,center_cm-1,gamma_cm-1,complex_amplitude_real,complex_amplitude_imag,imag_peak_to_peak,abs_rms,classification
clean_3350_3800,1,3630.0,75.0,0.00030799698623283216,0.005792222728183132,0.00907881181197122,0.005800405699294641,weak/quasi-free OH region
clean_3350_3800,2,3360.0,8.0,0.0022206463580354647,-0.002300544537932271,0.013930090961667366,0.0031974639041693932,H-bonded water band / collective OH
clean_3350_3800,3,3450.0,18.0,-0.0002544242468580336,0.0020387220198816412,0.0059725428312929615,0.002054536242498427,H-bonded water band / collective OH
clean_3350_3800,4,3675.0,25.0,-0.0028063440303578158,0.000593360137182875,0.0072324518178480315,0.00286838684091296,weak/quasi-free OH region
clean_3350_3800,5,3325.0,5.0,2.372985479625143,-1.2404329794141637,6.785977493540141,2.6776359093293602,low-edge / non-water-tail nuisance
clean_3350_3800,6,3310.0,5.0,-5.622336744720373,4.026020425307415,14.904302742719837,6.915165286240479,low-edge / non-water-tail nuisance
clean_3350_3800,7,3335.0,5.0,-0.4839570537716004,0.13513810041610544,1.4401619425609586,0.502470632056602,low-edge / non-water-tail nuisance
clean_3350_3800,8,3300.0,5.0,3.896624006409861,-3.1142647544271873,9.835176245130194,4.98821848037925,low-edge / non-water-tail nuisance
clean_3350_3800,9,3765.0,8.0,0.0005535436364035562,9.318142988016318e-05,0.0024781387398239247,0.0005613317524222055,high-edge nuisance or weak OH tail
clean_3350_3800,10,3405.0,8.0,2.0165798203782165e-05,0.0005638432750706647,0.0024259575792069665,0.0005642037737020277,H-bonded water band / collective OH
