step,center_cm-1,gamma_cm-1,bic,sse,complex_r2,imag_r2,real_r2,classification
0,,,-5253.802472078767,0.012370624914385089,0.8992688325639243,0.8385175188381663,0.9322126504861599,polynomial baseline
1,3630.0,75.0,-5889.117496278613,0.003303484400900478,0.973100482585757,0.9550201960002382,0.9829049400159939,weak/quasi-free OH region
2,3360.0,8.0,-6050.338613247195,0.0022769087047839493,0.9814596535287764,0.9725479594837272,0.9862922276410675,H-bonded water band / collective OH
3,3450.0,18.0,-6157.73252247968,0.0017477233681599032,0.9857686886112489,0.9832962016393701,0.9871094523844302,H-bonded water band / collective OH
4,3675.0,25.0,-6268.528977155888,0.0013324298554624574,0.9891503286376955,0.9875531653806437,0.990016427694745,weak/quasi-free OH region
5,3325.0,5.0,-6347.735133257715,0.0010820691170705789,0.9911889588308271,0.9878933775921478,0.9929760646828105,low-edge / non-water-tail nuisance
6,3310.0,5.0,-6398.839865458273,0.0009295531689293561,0.9924308612905016,0.9900243297744407,0.9937358591782365,low-edge / non-water-tail nuisance
7,3335.0,5.0,-6437.069824268239,0.0008193630128326939,0.993328114512582,0.9919730979255402,0.9940629038856419,low-edge / non-water-tail nuisance
8,3300.0,5.0,-6494.692406353049,0.000694759120170931,0.9943427354926672,0.9926235288177288,0.9952750154417976,low-edge / non-water-tail nuisance
9,3765.0,8.0,-6525.743187174438,0.0006212581955626845,0.9949412366997331,0.9919601808324221,0.996557783827455,high-edge nuisance or weak OH tail
10,3405.0,8.0,-6530.223632496633,0.0005858530639042125,0.9952295325837218,0.9933149846232299,0.9962677409045914,H-bonded water band / collective OH
