case,component_index,center_cm-1,gamma_cm-1,complex_amplitude_real,complex_amplitude_imag,imag_peak_to_peak,abs_rms,classification
full_3300_3800,1,3320.0,12.0,0.008107191516422113,-0.006589424755652044,0.03959050025945094,0.010447347648774146,low-edge / non-water-tail nuisance
full_3300_3800,2,3595.0,75.0,0.002422742559470748,0.0007160755215231019,0.003926312242513345,0.0025263502651048713,broad H-bonded-to-weakly-bonded OH
full_3300_3800,3,3350.0,8.0,0.00031471894443781703,-0.0030825288656528777,0.014036960405421094,0.0030985532465283325,H-bonded water band / collective OH
full_3300_3800,4,3275.0,5.0,133.82825135591884,72.95240086937467,185.4812738307831,152.42064707115284,low-edge / non-water-tail nuisance
full_3300_3800,5,3265.0,5.0,-1120.9317356912647,-377.9401709171762,731.7854219943946,1182.9314134271417,low-edge / non-water-tail nuisance
full_3300_3800,6,3675.0,25.0,-0.003100865377441593,0.00032284971199651285,0.008280822389095352,0.003117626986275335,weak/quasi-free OH region
full_3300_3800,7,3440.0,12.0,0.0012812546800513307,0.0007995207497641862,0.005563729127825967,0.001510247325591714,H-bonded water band / collective OH
full_3300_3800,8,3150.0,5.0,-59.28595786834581,10.962944670901514,21.161785437957786,60.291052041115705,low-edge / non-water-tail nuisance
full_3300_3800,9,3255.0,5.0,3327.448861254629,721.4035599425896,1002.7196536325786,3404.7524169258722,low-edge / non-water-tail nuisance
full_3300_3800,10,3245.0,5.0,-4169.577405829816,-560.4003948569879,485.7741513213167,4207.068379021473,low-edge / non-water-tail nuisance
full_3300_3800,11,3235.0,5.0,1884.656610565841,136.66641735616855,114.92029573137447,1889.6053157690083,low-edge / non-water-tail nuisance
full_3300_3800,12,3380.0,8.0,-0.0013982638264166264,-4.8610345895733575e-05,0.00629121411726058,0.0013991085354586928,H-bonded water band / collective OH
full_3300_3800,13,3290.0,5.0,-0.6103581537049189,-1.3312488678048393,5.73308827941086,1.4645001276291316,low-edge / non-water-tail nuisance
full_3300_3800,14,3770.0,12.0,0.0006280659166894156,0.0005697306908576576,0.003354361736718133,0.0008479739711878308,high-edge nuisance or weak OH tail
