step,center_cm-1,gamma_cm-1,bic,sse,complex_r2,imag_r2,real_r2,classification
0,,,-5083.561088662334,0.056573082704137134,0.7152056237752333,0.40692555765880667,0.8602551321734992,polynomial baseline
1,3320.0,12.0,-5599.331028855274,0.021416261884852072,0.8921884639650959,0.8361436527234045,0.9185582270876029,low-edge / non-water-tail nuisance
2,3595.0,75.0,-5973.26741317259,0.010458406540202565,0.947351368803804,0.9048948912727031,0.9673276561836129,broad H-bonded-to-weakly-bonded OH
3,3350.0,8.0,-6103.392221281116,0.007912030432085996,0.9601700726940849,0.9307544180167806,0.9740104948268113,H-bonded water band / collective OH
4,3275.0,5.0,-6134.334647778302,0.007152257847493626,0.9639948414526351,0.9503981996399019,0.9703922262581108,low-edge / non-water-tail nuisance
5,3265.0,5.0,-6229.898296138137,0.005757222666719302,0.9710175836319503,0.947363828910629,0.9821469619836634,low-edge / non-water-tail nuisance
6,3675.0,25.0,-6315.575393504343,0.004717277904136119,0.9762527662631848,0.9557811487616625,0.9858849104758168,weak/quasi-free OH region
7,3440.0,12.0,-6353.141774457887,0.004213878020835117,0.9787869300192258,0.9662780184820425,0.9846725245434613,H-bonded water band / collective OH
8,3150.0,5.0,-6362.727015915803,0.003958124328062368,0.9800744188729146,0.9704680294675598,0.9845943415467433,low-edge / non-water-tail nuisance
9,3255.0,5.0,-6419.101623635969,0.003418338777071613,0.9827917516032788,0.9725022322587252,0.9876330951951097,low-edge / non-water-tail nuisance
10,3245.0,5.0,-6518.6934962447285,0.002731770100933359,0.9862480047984394,0.9784580814762868,0.9899132581590369,low-edge / non-water-tail nuisance
11,3235.0,5.0,-6536.558220315103,0.0025281106781290708,0.9872732460528921,0.9811612637117887,0.9901490078401661,low-edge / non-water-tail nuisance
12,3380.0,8.0,-6555.7901412860565,0.0023338987494545284,0.988250927707108,0.9828834301045705,0.9907764003994711,H-bonded water band / collective OH
13,3290.0,5.0,-6576.360013706666,0.0021494370722309583,0.9891795256514165,0.9831096707873006,0.9920354659500551,low-edge / non-water-tail nuisance
14,3770.0,12.0,-6581.4759535612475,0.002035246112770967,0.9897543739982884,0.9830326943076024,0.9929170057799243,high-edge nuisance or weak OH tail
