window_start_cm-1,window_end_cm-1,species,max_shift_cm-1,shift_cm-1,global_sign,r2,sse,aic,bic,p_value,parameter_count,feasible
3200.0,3800.0,I+VIII,20,1.0,1.0,0.976750927467483,0.136272488001998,-5715.760105645758,-5697.713124327179,1.0087916421303576e-213,4.0,True
3200.0,3800.0,I+II+VIII,20,-2.0,1.0,0.9759424130433095,0.1410115274631859,-5690.753484476307,-5668.194757828083,3.4407215892019815e-207,5.0,True
3200.0,3800.0,I+VI+VIII,20,1.0,1.0,0.990093810628848,0.0580642978483443,-6287.900099989474,-6265.341373341251,0.0,5.0,True
3200.0,3800.0,I+II+VI+VIII,20,,,,,,,,,False
3200.0,3800.0,I+II+VII+VIII,20,,,,,,,,,False
3200.0,3800.0,I+VI+VII+VIII,20,-3.0,1.0,0.9956117296052602,0.025721478733412236,-6833.873248301525,-6806.802776323656,0.0,6.0,True
3200.0,3800.0,I+II+VI+VII+VIII,20,,,,,,,,,False
3200.0,3800.0,I+IV+VI+VIII,20,,,,,,,,,False
3200.0,3800.0,I+V+VI+VII,20,,,,,,,,,False
3300.0,3800.0,I+VIII,20,9.0,1.0,0.9948213887436035,0.021353209362772182,-5656.1989872834665,-5638.908726323757,0.0,4.0,True
3300.0,3800.0,I+II+VIII,20,7.0,1.0,0.9946552724095038,0.022038164592077275,-5636.612461572844,-5614.999635373208,0.0,5.0,True
3300.0,3800.0,I+VI+VIII,20,4.0,1.0,0.9953501498574218,0.019172943996780996,-5714.188963089267,-5692.576136889631,0.0,5.0,True
3300.0,3800.0,I+II+VI+VIII,20,-8.0,1.0,0.9930066855915655,0.028835859520937306,-5484.866336707283,-5458.93094526772,0.0,6.0,True
3300.0,3800.0,I+II+VII+VIII,20,4.0,1.0,0.9948853928323373,0.021089298318065296,-5659.126021265272,-5633.190629825709,0.0,6.0,True
3300.0,3800.0,I+VI+VII+VIII,20,2.0,1.0,0.995433456579096,0.018829441505251326,-5722.258651940624,-5696.323260501061,0.0,6.0,True
3300.0,3800.0,I+II+VI+VII+VIII,20,-2.0,1.0,0.9952786428502438,0.019467792175100813,-5701.688419925744,-5671.430463246253,0.0,7.0,True
3300.0,3800.0,I+IV+VI+VIII,20,-5.0,1.0,0.9940895602219422,0.024370792044109767,-5578.572879116076,-5552.637487676513,0.0,6.0,True
3300.0,3800.0,I+V+VI+VII,20,,,,,,,,,False
