window_start_cm_1,window_end_cm_1,model,active_species,r2,sse,aic,bic,shift_cm_1,global_sign,parameter_count,weight_I,weight_VI,weight_VII,weight_VIII
3300,3800,I+VI+VII,VI,0.9456772099133146,0.22399169438682115,-4345.0223313292445,-4323.409505129608,-20,1,5,0.0,0.11279383859696175,0.0,
3300,3800,I+VI+VIII,I+VI+VIII,0.9953501498574218,0.019172943996781006,-5714.188963089267,-5692.576136889631,4,1,5,0.002606817647852915,0.021118931755562932,,0.08581148712465876
3300,3800,I+VI+VII+VIII,I+VI+VII+VIII,0.995433456579096,0.018829441505251336,-5722.258651940624,-5696.323260501061,2,1,6,0.002246678922207963,0.020981617475246843,0.0058443536006825255,0.08760141410779572
3300,3800,I+VII,I+VII,0.9293869685430434,0.2911620065279068,-4200.937460535351,-4183.647199575642,20,-1,4,0.01094731349907289,,0.04729488981792463,
3300,3800,I+VIII,I+VIII,0.9948213887436035,0.021353209362772206,-5656.198987283466,-5638.908726323756,9,1,4,0.002653193373249066,,,0.09227985809941534
3300,3800,I+VII+VIII,I+VII+VIII,0.9948716618571329,0.02114591588864093,-5659.632669980415,-5638.0198437807785,7,1,5,0.0024509603954450156,,0.0055145066847917855,0.09453305022063528
3300,3800,VI+VII,VI,0.9456772099133146,0.22399169438682115,-4347.0223313292445,-4329.732070369535,-20,1,4,,0.11279383859696175,0.0,
3300,3800,VI+VIII,VI+VIII,0.9949700504332584,0.020740225683121852,-5672.422707087851,-5655.132446128142,4,1,4,,0.02393637379134432,,0.08155431814725757
3400,3800,I+VI+VII,I,0.9818684441975472,0.056831002133963957,-3959.8306755728236,-3939.3628267225977,-13,-1,5,0.022494620396923685,0.0,0.0,
3400,3800,I+VI+VIII,I+VI+VIII,0.9966773374770062,0.010414453287519769,-4711.551797540664,-4691.083948690438,2,1,5,0.007379938239499736,0.03592800857810468,,0.09898341138328817
3400,3800,I+VI+VII+VIII,I+VI+VIII,0.9966773374770062,0.010414453287519769,-4709.551797540664,-4684.990378920393,2,1,6,0.007379938239499736,0.03592800857810468,0.0,0.09898341138328817
3400,3800,I+VII,I,0.9818684441975472,0.056831002133963957,-3961.8306755728236,-3945.456396492643,-13,-1,4,0.022494620396923685,,0.0,
3400,3800,I+VIII,I+VIII,0.9955818030569423,0.013848263361118673,-4587.312189511701,-4570.93791043152,10,1,4,0.0038853805902510576,,,0.09717244114474924
3400,3800,I+VII+VIII,I+VIII,0.9955818030569423,0.013848263361118673,-4585.312189511701,-4564.844340661475,10,1,5,0.0038853805902510576,,0.0,0.09717244114474924
3400,3800,VI+VII,VII,0.9557108332621765,0.13881862962075348,-3566.193458320618,-3549.8191792404373,20,-1,4,,0.0,0.06198542534215087,
3400,3800,VI+VIII,VI+VIII,0.995820968626591,0.01309863000658673,-4611.966109944918,-4595.591830864737,4,1,4,,0.02369713984454573,,0.07971374716500935
3200,3800,I+VI+VII,I+VII,0.9391217693060175,0.3568326413978654,-5065.923299190978,-5043.364572542754,20,-1,5,0.015158894875736737,0.0,0.018095268702854127,
3200,3800,I+VI+VIII,VI+VIII,0.9902789810179434,0.0569789371488568,-6300.599141765846,-6278.040415117623,4,1,5,0.0,0.0375846163305607,,0.06656306046667203
3200,3800,I+VI+VII+VIII,VI+VII+VIII,0.9956160254629681,0.025696298923889395,-6834.53239826621,-6807.461926288342,-2,1,6,0.0,0.011099401321252842,0.028099113346222594,0.09297096440987106
3200,3800,I+VII,I+VII,0.9391217693060175,0.3568326413978654,-5067.923299190978,-5049.876317872398,20,-1,4,0.015158894875736737,,0.018095268702854127,
3200,3800,I+VIII,VIII,0.9770793491272212,0.13434747199872876,-5725.334843755657,-5707.287862437078,5,1,4,0.0,,,0.06162042917373888
3200,3800,I+VII+VIII,I+VII+VIII,0.9952372754924761,0.027916310097988624,-6780.764833015933,-6758.206106367709,-4,1,5,0.00027121941479976583,,0.03455942887417279,0.09931886022534013
3200,3800,VI+VII,VII,0.9282333950552049,0.42065393351091007,-4957.185453212028,-4939.138471893449,20,-1,4,,0.0,0.02614976526224465,
3200,3800,VI+VIII,VI+VIII,0.9902789810179434,0.0569789371488568,-6302.599141765846,-6284.552160447267,4,1,4,,0.0375846163305607,,0.06656306046667203
