smoothing_points,window_start_cm-1,window_end_cm-1,model,species,r2,sse,aic,bic,shift_cm-1,global_sign,p_value
1,3200.0,3800.0,I+VI+VIII,I+VI+VIII,0.9554519165281936,0.2708232762066748,-5251.536961270443,-5228.978234622219,2.0,1.0,5.3922346976187255e-158
1,3200.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9609783217209307,0.23722633907042684,-5338.677014775488,-5311.606542797619,-3.0,1.0,8.561522830690864e-176
1,3200.0,3800.0,I+II+VIII,I+II+VIII,0.9416566435195218,0.3546895335449623,-5069.977469243444,-5047.4187425952205,-2.0,1.0,6.718903515374765e-119
1,3300.0,3800.0,I+VI+VIII,I+VI+VIII,0.9810665460432582,0.07916945694977384,-4924.312576046726,-4902.699749847089,4.0,1.0,9.628627120606485e-239
1,3300.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.981112419604759,0.07897763854407377,-4923.663759943407,-4897.728368503844,1.0,1.0,1.8345618941744488e-237
1,3300.0,3800.0,I+II+VIII,I+II+VIII,0.9803637019144424,0.08210837069080652,-4904.010266567922,-4882.397440368286,7.0,1.0,2.245508006541819e-234
1,3300.0,3800.0,I+II+VI+VIII,I+II+VI+VIII,0.9792125433483239,0.08692189276400625,-4870.277997419261,-4844.3426059796975,-7.0,1.0,5.3009456924098594e-226
1,3350.0,3700.0,I+VI+VIII,I+VI+VIII,0.9841407391435752,0.036505253636480016,-3628.3718858519574,-3608.515576653005,-7.0,1.0,4.96448949982195e-180
1,3350.0,3700.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9840800128450583,0.03664503498882881,-3624.8737548713793,-3601.0461838326364,-9.0,1.0,3.521151463672783e-178
1,3350.0,3700.0,I+II+VI+VIII,I+II+VI+VIII,0.9841575630827533,0.03646652786152637,-3626.7879509361674,-3602.9603798974244,-9.0,1.0,1.3729782591431008e-178
1,3400.0,3800.0,I+VI+VIII,I+VI+VIII,0.9906878677220559,0.02944106615812885,-4251.188001756906,-4230.72015290668,2.0,1.0,1.3916206803753472e-201
1,3400.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9900560924626819,0.03143847519970299,-4220.108613551141,-4195.54719493087,-3.0,1.0,8.32394050576133e-194
1,3400.0,3800.0,I+II+VIII,I+II+VIII,0.9895147822008769,0.03314987176863073,-4198.626786874283,-4178.1589380240575,9.0,1.0,2.657648276405403e-190
1,3400.0,3800.0,I+II+VI+VIII,I+II+VI+VIII,0.990701745516463,0.029397190378546535,-4249.848693459951,-4225.28727483968,1.0,1.0,3.580170484003859e-200
7,3200.0,3800.0,I+VI+VIII,I+VI+VIII,0.9879192264194857,0.07100268579963405,-6152.514894484306,-6129.956167836082,2.0,1.0,8.323421519555e-311
7,3200.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9936046340570077,0.037587672312341114,-6578.570872363923,-6551.500400386054,-3.0,1.0,0.0
7,3200.0,3800.0,I+II+VIII,I+II+VIII,0.9740722241773138,0.15238607924834244,-5638.545069690192,-5615.986343041968,-1.0,1.0,4.598953681366922e-200
7,3300.0,3800.0,I+VI+VIII,I+VI+VIII,0.9942461090688385,0.023768104054663498,-5594.52063357504,-5572.9078073754035,4.0,1.0,0.0
7,3300.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9943355301336736,0.023398724586212068,-5601.244924611925,-5575.309533172362,2.0,1.0,0.0
7,3300.0,3800.0,I+II+VIII,I+II+VIII,0.993538172417558,0.02669244033302737,-5529.8886508434825,-5508.275824643846,7.0,1.0,0.0
7,3300.0,3800.0,I+II+VI+VIII,I+II+VI+VIII,0.9919133263356922,0.03340433515492024,-5402.950601586602,-5377.0152101470385,-8.0,1.0,0.0
7,3350.0,3700.0,I+VI+VIII,I+VI+VIII,0.996194984668066,0.008663328136079309,-4192.207918210942,-4172.351609011989,-7.0,1.0,6.753119334534224e-292
7,3350.0,3700.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9961763959031517,0.008705651374239778,-4188.297530535562,-4164.46995949682,-9.0,1.0,1.196123574518056e-289
7,3350.0,3700.0,I+II+VI+VIII,I+II+VI+VIII,0.9962081515986155,0.008633349429045346,-4191.566753152558,-4167.739182113815,-8.0,1.0,2.3925110730292628e-290
7,3400.0,3800.0,I+VI+VIII,I+VI+VIII,0.9959266658673167,0.01280488796111127,-4620.0136490122495,-4599.545800162024,2.0,1.0,5.433418549219262e-274
7,3400.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9954989900344582,0.014149324961623556,-4573.784552461964,-4549.223133841693,-2.0,1.0,8.68541525037034e-263
7,3400.0,3800.0,I+II+VIII,I+II+VIII,0.9947634536816478,0.01646154887507339,-4508.731907179074,-4488.2640583288485,9.0,1.0,4.199336027703165e-250
7,3400.0,3800.0,I+II+VI+VIII,I+II+VI+VIII,0.9959610644768443,0.012696752874061995,-4621.770593985642,-4597.209175365371,0.0,1.0,4.6003333741824934e-273
11,3200.0,3800.0,I+VI+VIII,I+VI+VIII,0.9891411382306017,0.06372886213781336,-6225.252835261276,-6202.694108613053,2.0,1.0,0.0
11,3200.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.9947620500907536,0.030740660921925643,-6713.904371252007,-6686.833899274138,-3.0,1.0,0.0
11,3200.0,3800.0,I+II+VIII,I+II+VIII,0.974951824971909,0.147003592740041,-5662.746330509908,-5640.187603861685,-2.0,1.0,2.58729688665926e-203
11,3300.0,3800.0,I+VI+VIII,I+VI+VIII,0.9948524222078301,0.02124578185349621,-5657.008314349963,-5635.395488150327,4.0,1.0,0.0
11,3300.0,3800.0,I+VI+VII+VIII,I+VI+VII+VIII,0.994939277352333,0.02088730151041716,-5664.486774198957,-5638.551382759394,1.0,1.0,0.0
11,3300.0,3800.0,I+II+VIII,I+II+VIII,0.9941466529133041,0.024158728694863726,-5585.440845482465,-5563.828019282829,7.0,1.0,0.0
11,3300.0,3800.0,I+II+VI+VIII,I+II+VI+VIII,0.9925157135932071,0.030890162858671598,-5446.534686057148,-5420.599294617585,-8.0,1.0,0.0
11,3350.0,3700.0,I+VI+VIII,I+VI+VIII,0.997025195241261,0.006765812087349202,-4289.116850176375,-4269.260540977422,-7.0,1.0,9.498979991675e-312
