wavenumber_cm-1,imag_exp_smooth,imag_fit,imag_baseline,residual,component_I / L1 Region A free-OH motif,component_II / L1 Region B upward motif,component_III / L1 Region B upward H-bond motif,component_IV / L1 Region B parallel motif,component_V / L1 Region B liquid-oriented motif,component_VI / L1 Region B connector motif,component_VII / L2 negative bonded motif,component_VIII / L2 positive bonded motif
3300.47,-0.05144247647058823,-0.028683705489277893,-0.0385770713409004,-0.022758770981310336,0.01978987279217121,-0.000456865351095674,0.0,0.0,0.0,0.007640937562857636,0.0,-0.01770269639486967
3301.33,-0.050269658823529406,-0.02862732625814206,-0.038541893796113474,-0.021642332565387345,0.019860856892774923,-0.0004721964746356975,0.0,0.0,0.0,0.007628208485850016,0.0,-0.017725812335084863
3302.2,-0.04854521176470588,-0.028589806147395543,-0.03850630721010811,-0.019955405617310337,0.019913410591182814,-0.000486681859817918,0.0,0.0,0.0,0.007616181605824672,0.0,-0.017751330176174255
3303.07,-0.04640051176470588,-0.028516460877299178,-0.038470720624102714,-0.017884050887406702,0.020010407636943405,-0.0005134171726873262,0.0,0.0,0.0,0.007593983894388253,0.0,-0.017763045446168267
3303.94,-0.04397898823529412,-0.028494575535971848,-0.03843513403809735,-0.015484412699322273,0.02010740468270394,-0.0005401524855567205,0.0,0.0,0.0,0.007564303350927534,0.0,-0.01781873781290694
3304.81,-0.04141618235294118,-0.028460873338606987,-0.038399547452091974,-0.012955309014334192,0.02018190609221173,-0.0005591372031799192,0.0,0.0,0.0,0.0075353522636487,0.0,-0.01784859773878343
3305.68,-0.03882378235294118,-0.028396502895135373,-0.03836396086608661,-0.010427279457805805,0.020230404615091995,-0.000569162945505942,0.0,0.0,0.0,0.007524253407930493,0.0,-0.01784859773878343
3306.54,-0.036278141176470595,-0.028357578073559275,-0.03832878332129968,-0.00792056310291132,0.02031257750613647,-0.0005908676035059145,0.0,0.0,0.0,0.007505448194751073,0.0,-0.01788790720836738
3307.41,-0.033814464705882355,-0.02828184184518959,-0.038293196735294306,-0.0055326228606927645,0.02040957455189701,-0.0006176029163753088,0.0,0.0,0.0,0.007483250483314665,0.0,-0.017897231520088017
3308.28,-0.031428045882352935,-0.028246548944465624,-0.03825761014928892,-0.003181496937887312,0.020460046134723995,-0.0006315144076719028,0.0,0.0,0.0,0.0074717000940987075,0.0,-0.017923944840314097
3309.15,-0.029082802352941174,-0.028234819422944576,-0.038222023563283546,-0.0008479829299965977,0.020498224077067532,-0.0006477267275443344,0.0,0.0,0.0,0.0074582393801732325,0.0,-0.01795771674597426
3310.02,-0.02672531470588235,-0.028248334007487084,-0.03818643697727818,0.0015230193016047347,0.020531158878624393,-0.0006721925841199569,0.0,0.0,0.0,0.007436041668736822,0.0,-0.01799449908269719
3310.89,-0.024300621235294115,-0.028183896337143504,-0.038150850391272806,0.0038832751018493886,0.020605541703364802,-0.0006891274879033267,0.0,0.0,0.0,0.0074190192072126964,0.0,-0.018007483390422106
3311.76,-0.021765949470588235,-0.02815071399114987,-0.03811526380526742,0.006384764520561637,0.02065404022624509,-0.0007024951443380308,0.0,0.0,0.0,0.007407920351494485,0.0,-0.018035329573791455
3312.63,-0.01909985770588235,-0.028120276978466002,-0.038079677219262045,0.009020419272583652,0.020737446610628953,-0.0007254844608097156,0.0,0.0,0.0,0.00738883285415897,0.0,-0.018083218650319834
3313.49,-0.016306204764705883,-0.028091246370325295,-0.03804449967447514,0.011785041605619412,0.020833328747817462,-0.0007519124712323174,0.0,0.0,0.0,0.00736689028883104,0.0,-0.018138270874912047
3314.36,-0.013413837705882349,-0.028074858383176204,-0.03800891308846975,0.014661020677293855,0.02083703769817609,-0.0007625771502102159,0.0,0.0,0.0,0.007355367037662701,0.0,-0.01814040042661095
3315.23,-0.01047338476470588,-0.028056081433623474,-0.03797332650246438,0.017582696668917593,0.020857916028784357,-0.0007761995787589119,0.0,0.0,0.0,0.007341879185689595,0.0,-0.018152388045780277
3316.1,-0.007552390647058821,-0.028026713260271837,-0.03793773991645901,0.020474322613213015,0.020954913074544893,-0.0008029348916283062,0.0,0.0,0.0,0.007319681474253185,0.0,-0.01820808041251895
3316.97,-0.004729767117647058,-0.028018290068238836,-0.03790215333045364,0.023288522950591778,0.021006444508730366,-0.0008234043572199465,0.0,0.0,0.0,0.007302686150776686,0.0,-0.01825072038423888
3317.84,-0.0020899082941176475,-0.028033606245125495,-0.03786656674444825,0.025943697951007847,0.021006444508730366,-0.0008367720136546505,0.0,0.0,0.0,0.007291587295058476,0.0,-0.018278566567608227
3318.71,0.00028320347058823477,-0.028011823462376708,-0.03783098015844288,0.028295026932964942,0.021076497401272275,-0.0008549668428780368,0.0,0.0,0.0,0.007272472659675342,0.0,-0.018326523731430417
3319.58,0.0023117093529411766,-0.028044947340161743,-0.03779539357243751,0.030356656693102918,0.021091147914007503,-0.000880692624893676,0.0,0.0,0.0,0.007269119899273806,0.0,-0.018382216098169087
3320.45,0.0039290422941176475,-0.02801367517598588,-0.03775980698643214,0.03194271747010353,0.021138468000761853,-0.0008943850938860745,0.0,0.0,0.0,0.007258290727903862,0.0,-0.018410738899020822
3321.32,0.005084019352941177,-0.02800359739540013,-0.03772422040042675,0.033087616748341306,0.021175851319284643,-0.0009108164360627014,0.0,0.0,0.0,0.007244648164828897,0.0,-0.018444967050341876
3322.19,0.005743080764705882,-0.02803432325116475,-0.03768863381442138,0.03377740401587063,0.021210375368483053,-0.0009351727814862301,0.0,0.0,0.0,0.007222450453392487,0.0,-0.018500659417080553
3323.06,0.005890189588235294,-0.02804831503129833,-0.03765304722841601,0.03393850461953363,0.02126055472456178,-0.0009584503581590456,0.0,0.0,0.0,0.007200252741956077,0.0,-0.018556351783819227
3323.93,0.00552465194117647,-0.028047744369501887,-0.03761746064241064,0.033572396310678355,0.021290110389644384,-0.0009770392378370912,0.0,0.0,0.0,0.007191582620348217,0.0,-0.01859507430445507
3324.8,0.004657881941176471,-0.02800346316779004,-0.03758187405640525,0.03266134510896651,0.02133860891252468,-0.0009904068942717952,0.0,0.0,0.0,0.007191582620348217,0.0,-0.01862292048782442
3325.68,0.0033104943529411765,-0.028050689647629294,-0.03754587842918143,0.03136118400057047,0.02134525812983892,-0.0010097800810017884,0.0,0.0,0.0,0.007172173101001174,0.0,-0.0186754352448771
3326.55,0.0015108990588235298,-0.028105427017668553,-0.037510291843176044,0.029616326076492082,0.021351460007294064,-0.0010348059692919128,0.0,0.0,0.0,0.007151394685225087,0.0,-0.018727566706940896
3327.42,-0.0007040338823529409,-0.028072244671674934,-0.03747470525717068,0.027368210789321994,0.02139995853017433,-0.00104817362572661,0.0,0.0,0.0,0.007140295829506884,0.0,-0.01875541289031023
3328.29,-0.0032881750588235285,-0.028066493607802955,-0.037439118671165304,0.024778318548979425,0.021429961535116056,-0.0010640902436007576,0.0,0.0,0.0,0.007133429661154027,0.0,-0.01879387856378856
3329.16,-0.006186159764705882,-0.02811991579300815,-0.03740353208515993,0.02193375602830227,0.021429961535116056,-0.0010875378142671582,0.0,0.0,0.0,0.0071221508947183175,0.0,-0.018849570930527235
3330.03,-0.009332736235294117,-0.028141223006746218,-0.037367945499154544,0.018808486771452103,0.021460750693538026,-0.001105786705958041,0.0,0.0,0.0,0.007106999262352264,0.0,-0.018905263297265936
3330.9,-0.01265434211764706,-0.028135886844121934,-0.03733235891314918,0.015481544726474875,0.021509249216418294,-0.0011191543623927378,0.0,0.0,0.0,0.007095900406634059,0.0,-0.01896095566400461
