wavenumber_cm-1,imag_exp_smooth,imag_fit,imag_baseline,residual,component_I / L1 Region A free-OH motif,component_II / L1 Region B upward motif,component_III / L1 Region B upward H-bond motif,component_IV / L1 Region B parallel motif,component_V / L1 Region B liquid-oriented motif,component_VI / L1 Region B connector motif,component_VII / L2 negative bonded motif,component_VIII / L2 positive bonded motif
3300.47,-0.05144247647058823,-0.029001119541714478,-0.0385770713409004,-0.02244135692887375,5.65715758465908e-06,-0.0,0.0,0.0,0.0,0.0,0.03311259884163111,-0.023736991532401573
3301.33,-0.050269658823529406,-0.028752226949418418,-0.038541893796113474,-0.02151743187411099,5.685252328529637e-06,-0.0,0.0,0.0,0.0,0.0,0.03338703058990743,-0.02379976027549135
3302.2,-0.04854521176470588,-0.028447362657851322,-0.03850630721010811,-0.020097849106854557,5.7141099299469e-06,-0.0,0.0,0.0,0.0,0.0,0.03366891399288443,-0.02381444231236094
3303.07,-0.04640051176470588,-0.028291427231053805,-0.038470720624102714,-0.018109084533652075,5.730935234055372e-06,-0.0,0.0,0.0,0.0,0.0,0.03383326493493405,-0.023860508720775428
3303.94,-0.04397898823529412,-0.028089383204478922,-0.03843513403809735,-0.0158896050308152,5.739213890438507e-06,-0.0,0.0,0.0,0.0,0.0,0.034067133097615554,-0.023929975203396705
3304.81,-0.04141618235294118,-0.027826554805164164,-0.038399547452091974,-0.013589627547777015,5.7645858422723075e-06,-0.0,0.0,0.0,0.0,0.0,0.0343149683913279,-0.02395264153760439
3305.68,-0.03882378235294118,-0.02765930744783379,-0.03836396086608661,-0.011164474905107389,5.783019975501393e-06,-0.0,0.0,0.0,0.0,0.0,0.03449503450737169,-0.0240031127983093
3306.54,-0.036278141176470595,-0.027430506706082793,-0.03832878332129968,-0.008847634470387802,5.816283795118148e-06,-0.0,0.0,0.0,0.0,0.0,0.034777674311871815,-0.024094186617243708
3307.41,-0.033814464705882355,-0.02724017499997615,-0.038293196735294306,-0.0065742897059062055,5.826792580002105e-06,-0.0,0.0,0.0,0.0,0.0,0.03495913369848344,-0.024122958874391837
3308.28,-0.031428045882352935,-0.027017143591774765,-0.03825761014928892,-0.00441090229057817,5.8365947488100855e-06,-0.0,0.0,0.0,0.0,0.0,0.03517135883250414,-0.024149796470238252
3309.15,-0.029082802352941174,-0.026807889442571196,-0.038222023563283546,-0.0022749129103699778,5.8702453570270155e-06,-0.0,0.0,0.0,0.0,0.0,0.035435078080070175,-0.024241929287067192
3310.02,-0.02672531470588235,-0.02665105091277898,-0.03818643697727818,-7.42637931033692e-05,5.873782842744057e-06,-0.0,0.0,0.0,0.0,0.0,0.03560518809692692,-0.024292838379475712
3310.89,-0.024300621235294115,-0.02643615547908529,-0.038150850391272806,0.002135534243791176,5.890556310718931e-06,-0.0,0.0,0.0,0.0,0.0,0.03585146134021204,-0.02436186703039339
3311.76,-0.021765949470588235,-0.026250514815791125,-0.03811526380526742,0.00448456534520289,5.89899488083997e-06,-0.0,0.0,0.0,0.0,0.0,0.03608689155332081,-0.024449299086636397
3312.63,-0.01909985770588235,-0.026094579388993636,-0.038079677219262045,0.006994721683111285,5.915820184948441e-06,-0.0,0.0,0.0,0.0,0.0,0.03625124249537041,-0.024495365495050877
3313.49,-0.016306204764705883,-0.025934397084144925,-0.03804449967447514,0.009628192319439042,5.92077310548601e-06,-0.0,0.0,0.0,0.0,0.0,0.036451731452536024,-0.02457287859265396
3314.36,-0.013413837705882349,-0.02569323696243737,-0.03800891308846975,0.012279399256555022,5.944268236856986e-06,-0.0,0.0,0.0,0.0,0.0,0.03674736682808294,-0.024665011409482976
3315.23,-0.01047338476470588,-0.025566660309406443,-0.03797332650246438,0.015093275544700562,5.954355137288262e-06,-0.0,0.0,0.0,0.0,0.0,0.036900814973716785,-0.024729527056844596
3316.1,-0.007552390647058821,-0.025430363302240907,-0.03793773991645901,0.017877972655182085,5.967763368227964e-06,-0.0,0.0,0.0,0.0,0.0,0.037054886600757724,-0.02478494915280919
