wavenumber_cm-1,imag_exp_smooth,imag_fit,imag_baseline,residual,component_I / L1 Region A free-OH motif,component_II / L1 Region B upward motif,component_III / L1 Region B upward H-bond motif,component_IV / L1 Region B parallel motif,component_V / L1 Region B liquid-oriented motif,component_VI / L1 Region B connector motif,component_VII / L2 negative bonded motif,component_VIII / L2 positive bonded motif
3300.47,-0.05144247647058823,-0.02896113041441587,-0.0385770713409004,-0.022481346056172358,0.0002409495452876865,-0.0,0.0,0.0,0.0,0.0017583710511297971,0.029209895321913735,-0.02382177491612449
3301.33,-0.050269658823529406,-0.028735871972521178,-0.038541893796113474,-0.02153378685100823,0.00024238125695787304,-0.0,0.0,0.0,0.0,0.001749114502793432,0.029501602823250362,-0.023913605188418573
3302.2,-0.04854521176470588,-0.028547012790542354,-0.03850630721010811,-0.019998198974163526,0.00024326558812573637,-0.0,0.0,0.0,0.0,0.0017438613180399516,0.029681782981520553,-0.023934149477497516
3303.07,-0.04640051176470588,-0.028348334818101933,-0.038470720624102714,-0.018052176946603948,0.00024426671941926026,-0.0,0.0,0.0,0.0,0.0017394955708124017,0.029885760859346817,-0.02396967693332254
3303.94,-0.04397898823529412,-0.028053845607209072,-0.03843513403809735,-0.01592514262808505,0.0002457150788995649,-0.0,0.0,0.0,0.0,0.0017331795447061969,0.03018086030837332,-0.023999011671203472
3304.81,-0.04141618235294118,-0.0279189081948015,-0.038399547452091974,-0.013497274158139679,0.00024644938384541534,-0.0,0.0,0.0,0.0,0.0017299773775156793,0.030330473017016846,-0.024044811271567944
3305.68,-0.03882378235294118,-0.027787326024110503,-0.03836396086608661,-0.011036456328830675,0.0002467465858101838,-0.0,0.0,0.0,0.0,0.001724957393858756,0.030507021275843257,-0.024118646744384388
3306.54,-0.036278141176470595,-0.027522959691212077,-0.03832878332129968,-0.008755181485258518,0.0002478894194206608,-0.0,0.0,0.0,0.0,0.0017192877490451192,0.03076123706683607,-0.024137175440793947
3307.41,-0.033814464705882355,-0.027390700666717595,-0.038293196735294306,-0.00642376403916476,0.00024861359916081283,-0.0,0.0,0.0,0.0,0.0017161297359920182,0.030908786791349268,-0.0241836244738729
3308.28,-0.031428045882352935,-0.027189525477901193,-0.03825761014928892,-0.004238520404451742,0.00024990645899330304,-0.0,0.0,0.0,0.0,0.001710491814906326,0.031163639162755195,-0.024266548761582428
3309.15,-0.029082802352941174,-0.02703930239099219,-0.038222023563283546,-0.002043499961948983,0.000250791611807072,-0.0,0.0,0.0,0.0,0.0017054038085208465,0.03134124681501353,-0.024323322639733247
3310.02,-0.02672531470588235,-0.026861318513158854,-0.03818643697727818,0.00013600380727650518,0.000250791611807072,-0.0,0.0,0.0,0.0,0.0017022457954677442,0.03148879653952679,-0.024323322639733247
3310.89,-0.024300621235294115,-0.026659735503301776,-0.038150850391272806,0.00235911426800766,0.00025222902443577206,-0.0,0.0,0.0,0.0,0.00169595363795268,0.03175383806080809,-0.024415518572644287
3311.76,-0.021765949470588235,-0.02652778676446146,-0.03811526380526742,0.004761837293873226,0.0002528141248055161,-0.0,0.0,0.0,0.0,0.0016915198679965742,0.03192125656319098,-0.024480731832973716
