window_start_cm-1,window_end_cm-1,window_label,model,active_species,r2,sse,p_vs_background,shift_cm-1,global_sign,parameter_count
3300.0,3800.0,nominal OH window,minimal,"I, VII, VIII",0.6512130448784337,0.022168733238128454,3.425231623752107e-82,-37.0,-1.0,5
3300.0,3800.0,nominal OH window,bridge_ii_vi_pool,"I, VI, VII, VIII",0.644194919719109,0.02261480194053918,1.1930043453226568e-78,-35.0,-1.0,6
3300.0,3800.0,nominal OH window,bridge_plus_iv,"I, VI, VII, VIII",0.644194919719109,0.02261480194053918,1.1930043453226568e-78,-35.0,-1.0,6
3300.0,3800.0,nominal OH window,bridge_plus_iii_v,"I, VI, VII, VIII",0.644194919719109,0.02261480194053918,1.1930043453226568e-78,-35.0,-1.0,6
3300.0,3800.0,nominal OH window,flexible_l1b_control,"I, VI, VII, VIII",0.644194919719109,0.02261480194053918,1.1930043453226568e-78,-35.0,-1.0,6
3300.0,3800.0,nominal OH window,unconstrained,"VII, VIII",0.6774110579842513,0.02050359996584355,7.689169363170021e-93,-52.0,-1.0,4
3350.0,3800.0,clean OH window without the 3300 cm^-1 edge,minimal,"I, VII",0.8716753720850443,0.005541083422160132,1.4882107136051563e-36,32.0,1.0,4
3350.0,3800.0,clean OH window without the 3300 cm^-1 edge,bridge_ii_vi_pool,"I, VI, VIII",0.8592002611789097,0.006079761237593994,1.363569977560063e-25,-80.0,1.0,5
3350.0,3800.0,clean OH window without the 3300 cm^-1 edge,bridge_plus_iv,"I, VI, VIII",0.8592002611789097,0.006079761237593994,1.363569977560063e-25,-80.0,1.0,5
3350.0,3800.0,clean OH window without the 3300 cm^-1 edge,bridge_plus_iii_v,"I, VI, VIII",0.8592002611789097,0.006079761237593994,1.363569977560063e-25,-80.0,1.0,5
3350.0,3800.0,clean OH window without the 3300 cm^-1 edge,flexible_l1b_control,"I, IV, VII",0.8775475105740979,0.005287523292954951,1.6279120259780483e-40,-69.0,-1.0,5
3350.0,3800.0,clean OH window without the 3300 cm^-1 edge,unconstrained,"VI, VII",0.9463551689736542,0.002316394668073085,1.716705065367409e-130,80.0,1.0,4
3400.0,3800.0,high-frequency clean OH window,minimal,"I, VIII",0.9703484477925212,0.0009969845698790522,3.7855669667702866e-151,-28.0,1.0,4
3400.0,3800.0,high-frequency clean OH window,bridge_ii_vi_pool,"I, II, VIII",0.9719802990454324,0.0009421162611946976,5.169412864653863e-155,-25.0,1.0,5
3400.0,3800.0,high-frequency clean OH window,bridge_plus_iv,"I, II, VIII",0.9719802990454324,0.0009421162611946976,5.169412864653863e-155,-25.0,1.0,5
3400.0,3800.0,high-frequency clean OH window,bridge_plus_iii_v,"I, II, VIII",0.9719802990454324,0.0009421162611946976,5.169412864653863e-155,-25.0,1.0,5
3400.0,3800.0,high-frequency clean OH window,flexible_l1b_control,"I, II, VIII",0.9719802990454324,0.0009421162611946976,5.169412864653863e-155,-25.0,1.0,5
3400.0,3800.0,high-frequency clean OH window,unconstrained,"I, II",0.970747085430564,0.0009835810363533616,1.9401989891608443e-152,-25.0,1.0,4
3350.0,3700.0,H-bonded + weak-OH core window,minimal,"I, VII",0.8872372005514592,0.0028944860375683373,8.958992047781563e-82,22.0,1.0,4
3350.0,3700.0,H-bonded + weak-OH core window,bridge_ii_vi_pool,"I, II, VII",0.8614020070248798,0.0035576445198538483,3.6049901905674824e-63,36.0,1.0,5
3350.0,3700.0,H-bonded + weak-OH core window,bridge_plus_iv,"I, II, VII",0.8614020070248798,0.0035576445198538483,3.6049901905674824e-63,36.0,1.0,5
3350.0,3700.0,H-bonded + weak-OH core window,bridge_plus_iii_v,"I, II, VII",0.8614020070248798,0.0035576445198538483,3.6049901905674824e-63,36.0,1.0,5
3350.0,3700.0,H-bonded + weak-OH core window,flexible_l1b_control,"I, V, VII",0.9051541294590955,0.0024345799265736,5.408554508716964e-95,75.0,1.0,5
3350.0,3700.0,H-bonded + weak-OH core window,unconstrained,"VI, VII",0.9135838333325093,0.0022181995220274487,3.400274233236791e-104,80.0,1.0,4
