wavenumber_cm-1,fingerprint,label,region,species,hbond_character
3000.0,0.0,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3000.0,0.0,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3000.607441154138,0.0,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3001.8223234624147,0.0,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3002.429764616553,0.0,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3003.037205770691,0.0,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3004.2520880789675,0.0,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3004.8595292331056,0.0,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3005.4669703872437,0.0,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3006.6818526955203,0.0,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3007.2892938496584,0.0,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3007.8967350037965,0.0,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3008.5041761579346,0.0,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3009.719058466211,0.0,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3010.3264996203493,0.0,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3010.9339407744874,0.0,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3012.148823082764,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3012.756264236902,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3013.36370539104,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3014.578587699317,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3015.186028853455,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3015.793470007593,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3017.0083523158696,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3017.6157934700077,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3018.223234624146,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3019.438116932422,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3020.0455580865605,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3020.6529992406986,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3021.8678815489748,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3022.4753227031133,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3023.0827638572514,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3024.2976461655276,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3024.905087319666,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3025.512528473804,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3026.1199696279423,-0.0028546027674052126,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3027.3348519362185,-0.005709205534810425,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3027.942293090357,-0.005709205534810425,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3028.549734244495,-0.005709205534810425,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3029.7646165527713,-0.005709205534810425,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3030.37205770691,-0.005709205534810425,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3030.979498861048,-0.005709205534810425,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3032.194381169324,-0.005709205534810425,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3032.8018223234626,-0.005709205534810425,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3033.4092634776007,-0.005709205534810425,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3034.624145785877,-0.005709205534810425,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3035.2315869400154,-0.005709205534810425,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3035.8390280941535,-0.005709205534810425,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3037.0539104024297,-0.005709205534810425,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3037.6613515565678,-0.005709205534810425,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3038.2687927107063,-0.005709205534810425,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3039.4836750189825,-0.005709205534810425,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3040.0911161731206,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3040.698557327259,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3041.305998481397,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3042.5208807896734,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3043.128321943812,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3043.73576309795,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3044.950645406226,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3045.5580865603642,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3046.165527714503,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3047.380410022779,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3047.987851176917,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3048.5952923310556,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3049.8101746393318,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3050.41761579347,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3051.0250569476084,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3052.2399392558846,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3052.8473804100227,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3053.454821564161,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3054.6697038724374,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3055.2771450265755,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3055.8845861807135,-0.008563808302215639,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3057.09946848899,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3057.7069096431283,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3058.3143507972663,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3058.921791951405,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3060.136674259681,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3060.744115413819,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3061.3515565679577,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3062.566438876234,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3063.173880030372,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3063.78132118451,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3064.9962034927867,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3065.6036446469247,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3066.211085801063,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3067.4259681093395,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3068.0334092634776,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3068.6408504176156,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3069.8557327258923,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3070.4631738800304,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3071.0706150341684,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3072.285497342445,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3072.892938496583,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3073.5003796507212,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3074.1078208048593,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3075.322703113136,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3075.930144267274,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3076.537585421412,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3077.7524677296888,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3078.359908883827,-0.01141841106962085,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3078.967350037965,-0.014273013837026064,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3080.1822323462416,-0.014273013837026064,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
3080.7896735003796,-0.014273013837026064,I / L1 Region A free-OH motif,L1 Region A,I,one nearly free OH plus one OH directed back to the H-bond network
