wavenumber_cm-1,imag_exp_smooth,imag_fit,imag_baseline,residual,component_I / L1 Region A free-OH motif,component_II / L1 Region B upward motif,component_III / L1 Region B upward H-bond motif,component_IV / L1 Region B parallel motif,component_V / L1 Region B liquid-oriented motif,component_VI / L1 Region B connector motif,component_VII / L2 negative bonded motif,component_VIII / L2 positive bonded motif
3350.1,-0.035382911764705885,-0.036273590817687884,-0.04374678192496594,0.0008906790529819991,-1.7996780634201197e-05,-0.0,-0.0,-0.0,-0.02253223514154844,-0.0,-0.0027613657888845853,0.0
3350.97,-0.0342442705882353,-0.0364488626549007,-0.043688394630266005,0.0022045920666654006,-1.816938055228444e-05,-0.0,-0.0,-0.0,-0.02259376871958873,-0.0,-0.002834086887769952,0.0
3351.84,-0.0331859294117647,-0.036522195101674815,-0.043630007335566025,0.003336265689910113,-1.8266366590242877e-05,-0.0,-0.0,-0.0,-0.02259376871958873,-0.0,-0.002866477788137014,0.0
3352.72,-0.03221383529411765,-0.03670749060784807,-0.04357094892253622,0.004493655313730423,-1.8445493527576422e-05,-0.0,-0.0,-0.0,-0.022659706704860456,-0.0,-0.00294434214402676,0.0
3353.59,-0.03133136470588235,-0.036855437145729086,-0.04351256162783624,0.005524072439846733,-1.8596886346671185e-05,-0.0,-0.0,-0.0,-0.022703982225537944,-0.0,-0.0030070172080421003,0.0
3354.47,-0.030546382352941177,-0.036936808535492874,-0.04345350321480643,0.006390426182551697,-1.870023434503498e-05,-0.0,-0.0,-0.0,-0.022708252310059057,-0.0,-0.003042701127211956,0.0
3355.34,-0.029877070588235292,-0.037135463604938475,-0.043395115920106454,0.007258393016703182,-1.8894206420951813e-05,-0.0,-0.0,-0.0,-0.022787178268172552,-0.0,-0.0031213917060990584,0.0
3356.22,-0.029354529411764703,-0.03725506749395899,-0.04333605750707664,0.007900538082194285,-1.909040806095949e-05,-0.0,-0.0,-0.0,-0.022814195731487158,-0.0,-0.0031724678920904965,0.0
3357.09,-0.029020888235294116,-0.037366712078175386,-0.04327767021237667,0.00834582384288127,-1.9284380136876367e-05,-0.0,-0.0,-0.0,-0.022835723873371124,-0.0,-0.0032215458019779234,0.0
3357.97,-0.028922476470588234,-0.037507327348113774,-0.04321861179934686,0.00858485087752554,-1.948058177688401e-05,-0.0,-0.0,-0.0,-0.022869302484461763,-0.0,-0.0032870722211112086,0.0
3358.84,-0.029099329411764706,-0.03762892645456539,-0.043160224504646884,0.008529597042800686,-1.958844561595615e-05,-0.0,-0.0,-0.0,-0.022904339358003026,-0.0,-0.0033326820298134,0.0
3359.72,-0.029574017647058824,-0.037784694930395865,-0.04310116609161707,0.008210677283337041,-1.9735322594342552e-05,-0.0,-0.0,-0.0,-0.02296410263160397,-0.0,-0.003387226316990085,0.0
3360.59,-0.030343023529411768,-0.03792954696360657,-0.0430427787969171,0.007586523434194803,-2.0064727568725383e-05,-0.0,-0.0,-0.0,-0.022987921836742836,-0.0,-0.00346708517971845,0.0
3361.47,-0.03137351176470589,-0.038069646472837275,-0.042983720383887286,0.006696134708131386,-2.0220215540087395e-05,-0.0,-0.0,-0.0,-0.023034622743385587,-0.0,-0.0035190142562605965,0.0
3362.34,-0.032606317647058826,-0.03814608764660104,-0.04292533308918731,0.005539769999542213,-2.031946838618394e-05,-0.0,-0.0,-0.0,-0.023036467441941433,-0.0,-0.00355266691825332,0.0
3363.22,-0.033964388235294116,-0.03832102401956938,-0.042866274676157494,0.004356635784275267,-2.0580972384009456e-05,-0.0,-0.0,-0.0,-0.023089729496360192,-0.0,-0.0036327656947306294,0.0
3364.09,-0.03536467647058824,-0.038431367733472444,-0.04280788738145752,0.003066691262884204,-2.078315423294019e-05,-0.0,-0.0,-0.0,-0.02311492464823739,-0.0,-0.0036768675145384673,0.0
3364.97,-0.03673074705882353,-0.0385491659459036,-0.04274882896842771,0.0018184188870800713,-2.0905843742116136e-05,-0.0,-0.0,-0.0,-0.023144836249334798,-0.0,-0.003723317398288595,0.0
3365.84,-0.03800364705882353,-0.03870852554393775,-0.042690441673727736,0.0007048784851142187,-2.1207532373827922e-05,-0.0,-0.0,-0.0,-0.023188665405313145,-0.0,-0.0037977015913435823,0.0
3366.72,-0.03914905882352941,-0.03879864834501482,-0.04263138326069792,-0.00035041047851459145,-2.134720770783841e-05,-0.0,-0.0,-0.0,-0.023199943002309407,-0.0,-0.003835093082015933,0.0
3367.59,-0.04015900000000001,-0.03888741282199861,-0.04257299596599795,-0.001271587178001396,-2.1581581110278982e-05,-0.0,-0.0,-0.0,-0.023199943002309407,-0.0,-0.003882778625228187,0.0
3368.47,-0.04104791764705883,-0.03906184200699868,-0.04251393755296814,-0.0019860756400601545,-2.181316036273277e-05,-0.0,-0.0,-0.0,-0.023255049755284012,-0.0,-0.003960555439926743,0.0
3369.34,-0.04184411764705883,-0.03913517445377279,-0.042455550258268165,-0.0027089431932860383,-2.1910146400691207e-05,-0.0,-0.0,-0.0,-0.023255049755284012,-0.0,-0.003992946340293804,0.0
3370.22,-0.04257848823529412,-0.03923230294318145,-0.04239649184523835,-0.003346185292112669,-2.221179778835585e-05,-0.0,-0.0,-0.0,-0.023255049755284012,-0.0,-0.004048459140240348,0.0
