wavenumber_cm-1,imag_exp_smooth,imag_fit,imag_baseline,residual,component_I / L1 Region A free-OH motif,component_II / L1 Region B upward motif,component_III / L1 Region B upward H-bond motif,component_IV / L1 Region B parallel motif,component_V / L1 Region B liquid-oriented motif,component_VI / L1 Region B connector motif,component_VII / L2 negative bonded motif,component_VIII / L2 positive bonded motif
3350.1,-0.035382911764705885,-0.035056411191170436,-0.04374678192496594,-0.0003265005735354487,-0.003380722831581988,0.0,-0.0,-0.0,-0.0,-0.0,-0.017720001101226953,0.0
3350.97,-0.0342442705882353,-0.03527889974783349,-0.043688394630266005,0.001034629159598191,-0.003402040576582325,0.0,-0.0,-0.0,-0.0,-0.0,-0.017873481747891405,0.0
3351.84,-0.0331859294117647,-0.035443581204906364,-0.043630007335566025,0.002257651793141663,-0.0034233583215826703,0.0,-0.0,-0.0,-0.0,-0.0,-0.017969155294965646,0.0
3352.72,-0.03221383529411765,-0.03570686867525634,-0.04357094892253622,0.0034930333811386896,-0.003444921098134734,0.0,-0.0,-0.0,-0.0,-0.0,-0.018162641660949233,0.0
3353.59,-0.03133136470588235,-0.035901887785956224,-0.04351256162783624,0.004570523080073871,-0.0034596895051182603,0.0,-0.0,-0.0,-0.0,-0.0,-0.0182952021996673,0.0
3354.47,-0.030546382352941177,-0.036082086930337064,-0.04345350321480643,0.005535704577395887,-0.00347291739482895,0.0,-0.0,-0.0,-0.0,-0.0,-0.018413935126523125,0.0
3355.34,-0.029877070588235292,-0.036353768457495654,-0.043395115920106454,0.006476697869260362,-0.0035055616628407635,0.0,-0.0,-0.0,-0.0,-0.0,-0.01860528222067161,0.0
3356.22,-0.029354529411764703,-0.03653086485307094,-0.04333605750707664,0.0071763354413062405,-0.003521679603886883,0.0,-0.0,-0.0,-0.0,-0.0,-0.018718022347386457,0.0
3357.09,-0.029020888235294116,-0.03673254441442303,-0.04327767021237667,0.007711656179128914,-0.0035371156613817002,0.0,-0.0,-0.0,-0.0,-0.0,-0.018856575686245436,0.0
3357.97,-0.028922476470588234,-0.03699589200482458,-0.04321861179934686,0.008073415534236347,-0.0035586784379337635,0.0,-0.0,-0.0,-0.0,-0.0,-0.019050122172280602,0.0
3358.84,-0.029099329411764706,-0.03721742949052632,-0.043160224504646884,0.008118100078761611,-0.0035761050744505573,0.0,-0.0,-0.0,-0.0,-0.0,-0.01920654285646725,0.0
3359.72,-0.029574017647058824,-0.03737322244963421,-0.04310116609161707,0.007799204802575385,-0.003586886462726585,0.0,-0.0,-0.0,-0.0,-0.0,-0.019303316099484796,0.0
3360.59,-0.030343023529411768,-0.03763146526405243,-0.0430427787969171,0.0072884417346406605,-0.003607992479628325,0.0,-0.0,-0.0,-0.0,-0.0,-0.01949276273200298,0.0
3361.47,-0.03137351176470589,-0.03783152233278286,-0.042983720383887286,0.0064580105680769745,-0.003623210948360987,0.0,-0.0,-0.0,-0.0,-0.0,-0.019629363004186426,0.0
3362.34,-0.032606317647058826,-0.03798976584399957,-0.04292533308918731,0.0053834481969407474,-0.0036317508653997852,0.0,-0.0,-0.0,-0.0,-0.0,-0.019731376433366053,0.0
3363.22,-0.033964388235294116,-0.038210613513139834,-0.042866274676157494,0.004246225277845718,-0.0036426673280164023,0.0,-0.0,-0.0,-0.0,-0.0,-0.019893069312075372,0.0
3364.09,-0.03536467647058824,-0.038384427204109416,-0.04280788738145752,0.003019750733521176,-0.0036553100816373646,0.0,-0.0,-0.0,-0.0,-0.0,-0.0200065500844257,0.0
3364.97,-0.03673074705882353,-0.03858583176822048,-0.04274882896842771,0.0018550847093969508,-0.003670663624710611,0.0,-0.0,-0.0,-0.0,-0.0,-0.0201443627776492,0.0
3365.84,-0.03800364705882353,-0.038797846913282266,-0.042690441673727736,0.0007941998544587353,-0.003691287764832569,0.0,-0.0,-0.0,-0.0,-0.0,-0.020288063617590734,0.0
3366.72,-0.03914905882352941,-0.038942858484114176,-0.04263138326069792,-0.00020620033941523563,-0.003691287764832569,0.0,-0.0,-0.0,-0.0,-0.0,-0.020384836860608317,0.0
3367.59,-0.04015900000000001,-0.03916198743105355,-0.04257299596599795,-0.000997012568946458,-0.0037050934415469774,0.0,-0.0,-0.0,-0.0,-0.0,-0.02054246996583499,0.0
3368.47,-0.04104791764705883,-0.039350068959808186,-0.04251393755296814,-0.001697848687250647,-0.0037210562145489606,0.0,-0.0,-0.0,-0.0,-0.0,-0.02066635039377332,0.0
3369.34,-0.04184411764705883,-0.039493432671880754,-0.042455550258268165,-0.002350684975178076,-0.0037210562145489606,0.0,-0.0,-0.0,-0.0,-0.0,-0.0207620239408476,0.0
3370.22,-0.04257848823529412,-0.03972585495978815,-0.04239649184523835,-0.0028526332755059725,-0.0037359404394071566,0.0,-0.0,-0.0,-0.0,-0.0,-0.020931323676082476,0.0
3371.1,-0.04327362352941177,-0.03989265998258687,-0.042337433432208506,-0.0033809635468248986,-0.0037411936405180447,0.0,-0.0,-0.0,-0.0,-0.0,-0.021044637169955964,0.0
3371.97,-0.04393611176470588,-0.04004873002604483,-0.04227904613750857,-0.0038873817386610512,-0.0037508246642653526,0.0,-0.0,-0.0,-0.0,-0.0,-0.02114338602466835,0.0
3372.85,-0.0445540705882353,-0.0402608663328337,-0.04221998772447872,-0.0042932042554016045,-0.003759558913464946,0.0,-0.0,-0.0,-0.0,-0.0,-0.02129854975444327,0.0
3373.73,-0.04510056470588236,-0.040461369056109565,-0.04216092931144888,-0.004639195649772797,-0.003765973177141186,0.0,-0.0,-0.0,-0.0,-0.0,-0.02144439988622855,0.0
3374.6,-0.04554170588235295,-0.04058350045832415,-0.042102542016748935,-0.0049582054240287984,-0.0037766320496413572,0.0,-0.0,-0.0,-0.0,-0.0,-0.021508182250944703,0.0
3375.48,-0.045847235294117654,-0.04078184056251336,-0.042043483603719095,-0.005065394731604292,-0.0037805931139817434,0.0,-0.0,-0.0,-0.0,-0.0,-0.021654322962979172,0.0
3376.36,-0.04600078235294119,-0.04094928677094666,-0.04198442519068925,-0.005051495581994525,-0.0037833106013352305,0.0,-0.0,-0.0,-0.0,-0.0,-0.021770813356244638,0.0
3377.23,-0.04600705882352942,-0.04107141817316125,-0.04192603789598931,-0.004935640650368174,-0.0037939694738354014,0.0,-0.0,-0.0,-0.0,-0.0,-0.02183459572096079,0.0
3378.11,-0.045893911764705884,-0.0412411723389298,-0.04186697948295946,-0.004652739425776084,-0.00379547733883994,0.0,-0.0,-0.0,-0.0,-0.0,-0.021954603693910453,0.0
3378.99,-0.04570821176470588,-0.0413926711142471,-0.04180792106992965,-0.004315540650458784,-0.0038006480255292686,0.0,-0.0,-0.0,-0.0,-0.0,-0.022052693454724097,0.0
3379.87,-0.04550614705882353,-0.04152152845772375,-0.04174886265689981,-0.003984618601099783,-0.003810361563698135,0.0,-0.0,-0.0,-0.0,-0.0,-0.022123598932217534,0.0
3380.74,-0.045340111764705884,-0.04169678335215426,-0.041690475362199865,-0.003643328412551626,-0.003810361563698135,0.0,-0.0,-0.0,-0.0,-0.0,-0.02225116366164978,0.0
3381.62,-0.045244564705882354,-0.04182843157152241,-0.041631416949170025,-0.0034161331343599416,-0.003810361563698135,0.0,-0.0,-0.0,-0.0,-0.0,-0.022334573553203587,0.0
3382.5,-0.045228576470588235,-0.041969297344976154,-0.04157235853614018,-0.00325927912561208,-0.0038174036625841733,0.0,-0.0,-0.0,-0.0,-0.0,-0.022420158899956938,0.0
3383.38,-0.045272994117647056,-0.04215440878945278,-0.04151330012311034,-0.0031185853281942774,-0.003825245788556331,0.0,-0.0,-0.0,-0.0,-0.0,-0.022549189890647053,0.0
3384.25,-0.04533500588235294,-0.04226936271548707,-0.04145491282841039,-0.003065643166865868,-0.003825245788556331,0.0,-0.0,-0.0,-0.0,-0.0,-0.022616453651683077,0.0
3385.13,-0.04535922352941176,-0.04238211653864651,-0.04139585441538055,-0.0029771069907652548,-0.003825245788556331,0.0,-0.0,-0.0,-0.0,-0.0,-0.022680969147028163,0.0
3386.01,-0.04529191764705882,-0.04253380449687249,-0.04133679600235071,-0.002758113150186328,-0.003825245788556331,0.0,-0.0,-0.0,-0.0,-0.0,-0.022784418777439804,0.0
3386.89,-0.04509488235294117,-0.04261430057235935,-0.0412777375893209,-0.002480581780581824,-0.003825245788556331,0.0,0.0,-0.0,-0.0,-0.0,-0.022816676525112333,0.0
3387.77,-0.044755847058823524,-0.04276491137966132,-0.04121867917629105,-0.001990935679162205,-0.003825245788556331,0.0,0.0,-0.0,-0.0,-0.0,-0.022919049004599956,0.0
3388.64,-0.04429316470588234,-0.04286344473827576,-0.04116029188159111,-0.001429719967606581,-0.003825245788556331,0.0,0.0,-0.0,-0.0,-0.0,-0.022969892198216133,0.0
3389.52,-0.04375377647058823,-0.042945931455470335,-0.04110123346856127,-0.0008078450151178945,-0.003825245788556331,0.0,0.0,-0.0,-0.0,-0.0,-0.023004140587596363,0.0
3390.4,-0.04320444705882352,-0.043101891555694584,-0.04104217505553143,-0.00010255550312893852,-0.003825245788556331,0.0,0.0,0.0,-0.0,-0.0,-0.023111862360006258,0.0
3391.28,-0.042717682352941176,-0.04321464537885399,-0.04098311664250158,0.0004969630259128166,-0.003825245788556331,0.0,0.0,0.0,-0.0,-0.0,-0.023176377855351316,0.0
3392.16,-0.04235515294117647,-0.04329676246906477,-0.04092405822947177,0.0009416095278882985,-0.003825245788556331,0.0,0.0,0.0,-0.0,-0.0,-0.02321025661774777,0.0
3393.04,-0.04215261176470589,-0.043395619653636176,-0.04086499981644193,0.0012430078889302879,-0.003825245788556331,0.0,0.0,0.0,-0.0,-0.0,-0.023260875474504828,0.0
3393.92,-0.04211068235294119,-0.043496202506354664,-0.04080594140341209,0.0013855201534134776,-0.003825245788556331,0.0,0.0,0.0,-0.0,-0.0,-0.023313219999408965,0.0
3394.79,-0.04219475882352942,-0.04354389267135293,-0.04074755410871214,0.0013491338478235151,-0.003825245788556331,0.0,0.0,0.0,-0.0,-0.0,-0.023313219999408965,0.0
3395.67,-0.04234441176470589,-0.0436343686650723,-0.040688495695682295,0.0012899569003664152,-0.003822950082924761,0.0,0.0,0.0,-0.0,-0.0,-0.023357753370945564,0.0
3396.55,-0.04249081764705883,-0.04368344389351045,-0.040629437282652454,0.0011926262464516182,-0.003810361563698135,0.0,0.0,0.0,-0.0,-0.0,-0.023371178790795987,0.0
3397.43,-0.04257344117647059,-0.04376279017301095,-0.04057037886962264,0.001189348996540357,-0.003810361563698135,0.0,0.0,0.0,-0.0,-0.0,-0.023402286742482164,0.0
3398.31,-0.042555652941176476,-0.0438110285008253,-0.0405113204565928,0.0012553755596488234,-0.003810361563698135,0.0,0.0,0.0,-0.0,-0.0,-0.023402286742482164,0.0
3399.19,-0.04243367647058824,-0.04388039874843448,-0.040452262043562955,0.0014467222778462435,-0.003810361563698135,0.0,0.0,0.0,-0.0,-0.0,-0.023423418662277,0.0
3400.07,-0.04223686470588235,-0.04394611851360605,-0.040393203630533114,0.0017092538077237013,-0.0038044415493135937,0.0,0.0,0.0,-0.0,-0.0,-0.02344682011401876,0.0
3400.95,-0.04202014705882353,-0.043985392630946724,-0.0403341452175033,0.0019652455721231935,-0.00379547733883994,0.0,0.0,0.0,-0.0,-0.0,-0.02344682011401876,0.0
3401.83,-0.04185072941176471,-0.04400479253902184,-0.04027508680447346,0.002154063127257133,-0.00379547733883994,0.0,0.0,0.0,-0.0,-0.0,-0.023417981694279524,0.0
3402.71,-0.04179172941176471,-0.044037335915038826,-0.040216028391443615,0.002245606503274114,-0.00379547733883994,0.0,0.0,0.0,-0.0,-0.0,-0.023402286742482164,0.0
3403.59,-0.041886094117647064,-0.04406640284598385,-0.040156969978413774,0.0021803087283367856,-0.0037805931139817434,0.0,0.0,0.0,-0.0,-0.0,-0.023397999570471038,0.0
3404.47,-0.04214452941176472,-0.04408238342612566,-0.04009791156538396,0.0019378540143609388,-0.0037805931139817434,0.0,0.0,0.0,-0.0,-0.0,-0.023365741822798523,0.0
3405.35,-0.042540829411764715,-0.0441172894320113,-0.04003885315235412,0.001576460020246584,-0.0037792544640085604,0.0,0.0,0.0,-0.0,-0.0,-0.02335374815084299,0.0
3406.23,-0.04301652941176471,-0.04408746668959556,-0.039979794739324274,0.0010709372778308496,-0.0037657088891235473,0.0,0.0,0.0,-0.0,-0.0,-0.02328923265549792,0.0
3407.11,-0.04349440000000001,-0.0440931742559246,-0.039920736326294434,0.0005987742559245904,-0.0037657088891235473,0.0,0.0,0.0,-0.0,-0.0,-0.023246701894012605,0.0
3407.99,-0.04389731176470588,-0.04409295564587411,-0.03986167791326462,0.000195643881168224,-0.003759218808926946,0.0,0.0,0.0,-0.0,-0.0,-0.02320473503634439,0.0
3408.88,-0.04416698235294118,-0.04406809936586895,-0.03980194838190488,-9.88829870722241e-05,-0.0037508246642653526,0.0,0.0,0.0,-0.0,-0.0,-0.023139486410370398,0.0
3409.76,-0.044277176470588236,-0.04405182219833821,-0.03974288996887504,-0.00022535427225002513,-0.0037508246642653526,0.0,0.0,0.0,-0.0,-0.0,-0.02307497091502531,0.0
3410.64,-0.04423775882352941,-0.04402365848883573,-0.03968383155584523,-0.00021410033469368428,-0.0037389381222935982,0.0,0.0,0.0,-0.0,-0.0,-0.023010455419680255,0.0
3411.52,-0.04408931176470589,-0.04396351638386874,-0.03962477314281538,-0.00012579538083714453,-0.0037341000050034384,0.0,0.0,0.0,-0.0,-0.0,-0.02290691310418908,0.0
3412.4,-0.04389018823529412,-0.04396871557573452,-0.03956571472978554,7.852734044039994e-05,-0.003723318616727405,0.0,0.0,0.0,-0.0,-0.0,-0.022874655356516546,0.0
3413.28,-0.043699511764705885,-0.043903813980763956,-0.03950665631675569,0.0002043022160580707,-0.003718902467211973,0.0,0.0,0.0,-0.0,-0.0,-0.02276593158324706,0.0
3414.16,-0.04356100588235295,-0.04383671694303679,-0.03944759790372589,0.00027571106068384477,-0.0037061719896907645,0.0,0.0,0.0,-0.0,-0.0,-0.02266332669522678,0.0
3415.04,-0.0434917,-0.043817938294697864,-0.03938853949069604,0.00032623829469786286,-0.0037055453638242374,0.0,0.0,0.0,-0.0,-0.0,-0.022596936344940036,0.0
3415.92,-0.04347569411764706,-0.04372288803283037,-0.0393294810776662,0.0002471939151833108,-0.003691287764832569,0.0,0.0,0.0,-0.0,-0.0,-0.02246790535424986,0.0
3416.81,-0.04346732352941177,-0.043676635124297376,-0.039269751546306485,0.00020931159488560974,-0.003684173384429568,0.0,0.0,0.0,-0.0,-0.0,-0.022379980335489456,0.0
3417.69,-0.043402552941176474,-0.04362854403921035,-0.039210693133276645,0.00022599109803387446,-0.003670380452332693,0.0,0.0,0.0,-0.0,-0.0,-0.02229744385468496,0.0
3418.57,-0.0432161705882353,-0.04350088712985009,-0.039151634720246804,0.00028471654161479204,-0.003661519315116177,0.0,0.0,0.0,-0.0,-0.0,-0.022130409754726865,0.0
3419.45,-0.04286002352941177,-0.04346185934226731,-0.03909257630721699,0.0006018358128555418,-0.0036518292196014678,0.0,0.0,0.0,-0.0,-0.0,-0.022052833734844467,0.0
3420.33,-0.042317364705882356,-0.04336234555683153,-0.039033517894187145,0.0010449808509491731,-0.0036354605723928836,0.0,0.0,0.0,-0.0,-0.0,-0.021921450268802923,0.0
3421.22,-0.041609200000000006,-0.04322930126091868,-0.03897378836282744,0.0016201012609186743,-0.003630143927273534,0.0,0.0,0.0,-0.0,-0.0,-0.02174493612737901,0.0
3422.1,-0.040791058823529416,-0.04320224270511193,-0.03891472994979759,0.0024111838815825126,-0.003619362538997501,0.0,0.0,0.0,-0.0,-0.0,-0.02168042063203395,0.0
3422.98,-0.03994145294117647,-0.04306942518253513,-0.03885567153676775,0.003127972241358655,-0.0036019824156833936,0.0,0.0,0.0,-0.0,-0.0,-0.021516744904956905,0.0
3423.86,-0.03914533529411765,-0.04291575171783828,-0.03879661312373791,0.0037704164237206267,-0.0035936171092074607,0.0,0.0,0.0,-0.0,-0.0,-0.021323198418921642,0.0
3424.75,-0.03847655882352942,-0.04282324515116661,-0.038736883592378195,0.004346686327637191,-0.0035794537459644337,0.0,0.0,0.0,-0.0,-0.0,-0.02119606872486259,0.0
3425.63,-0.037983529411764715,-0.04272859792713802,-0.038677825179348355,0.004745068515373305,-0.0035651307494097956,0.0,0.0,0.0,-0.0,-0.0,-0.021067506169574292,0.0
3426.51,-0.03768068823529413,-0.04257548876061611,-0.03861876676631851,0.004894800525321985,-0.003557329741108806,0.0,0.0,0.0,-0.0,-0.0,-0.02087395968353902,0.0
3427.39,-0.03754793529411765,-0.04251169612611894,-0.038559708353288695,0.004963760832001292,-0.0035471095811363336,0.0,0.0,0.0,-0.0,-0.0,-0.020772148881200006,0.0
3428.28,-0.03753838235294117,-0.04238945742652297,-0.03849997882192895,0.004851075073581797,-0.0035299658379182516,0.0,0.0,0.0,-0.0,-0.0,-0.02061826743419167,0.0
3429.16,-0.03759187647058823,-0.042199371759252584,-0.03844092040889914,0.0046074952886643525,-0.0035105400639502044,0.0,0.0,0.0,-0.0,-0.0,-0.020399369213075016,0.0
3430.05,-0.03765051176470588,-0.04213938140687012,-0.038381190877539405,0.004488869642164238,-0.003499636159898304,0.0,0.0,0.0,-0.0,-0.0,-0.020301496274114015,0.0
3430.93,-0.03767444705882352,-0.04199389124476251,-0.03832213246450959,0.004319444185938985,-0.0034829086168178267,0.0,0.0,0.0,-0.0,-0.0,-0.020124495327272562,0.0
3431.81,-0.037651170588235285,-0.04187268174122451,-0.038263074051479745,0.004221511152989223,-0.003478073383346237,0.0,0.0,0.0,-0.0,-0.0,-0.01995988272939179,0.0
3432.7,-0.03759678235294117,-0.041774096392134544,-0.03820334452012004,0.004177314039193372,-0.0034663145666290543,0.0,0.0,0.0,-0.0,-0.0,-0.019824269706388613,0.0
3433.58,-0.03754921176470589,-0.041607225457361556,-0.03814428610709019,0.004058013692655668,-0.00344475179007698,0.0,0.0,0.0,-0.0,-0.0,-0.019630723220353346,0.0
3434.46,-0.03755611764705883,-0.04151550801495607,-0.03808522769406035,0.003959390367897241,-0.003430722477884072,0.0,0.0,0.0,-0.0,-0.0,-0.019504796762326415,0.0
3435.35,-0.037660805882352946,-0.041398809765088244,-0.038025498162700636,0.003738003882735298,-0.0034162654302793095,0.0,0.0,0.0,-0.0,-0.0,-0.019353769069432942,0.0
3436.23,-0.03788987647058824,-0.04120866736035171,-0.037966439749670795,0.0033187908897634733,-0.00339470265372724,0.0,0.0,0.0,-0.0,-0.0,-0.019136951113434133,0.0
