wavenumber_cm-1,imag_exp_smooth,imag_fit,imag_baseline,residual,component_I / L1 Region A free-OH motif,component_II / L1 Region B upward motif,component_III / L1 Region B upward H-bond motif,component_IV / L1 Region B parallel motif,component_V / L1 Region B liquid-oriented motif,component_VI / L1 Region B connector motif,component_VII / L2 negative bonded motif,component_VIII / L2 positive bonded motif
3400.07,-0.04223686470588235,-0.045373006635441505,-0.04147345133530764,0.003136141929559154,-0.003360397192293204,0.011168602546278402,0.0,0.0,-0.0,-0.0,-0.0,0.008539109051022536
3400.95,-0.04202014705882353,-0.04519086212655334,-0.041412053098837595,0.0031707150677298124,-0.0033472704352880737,0.011231299537040974,0.0,0.0,-0.0,-0.0,-0.0,0.008539109051022536
3401.83,-0.04185072941176471,-0.044943750156623316,-0.04135065486236752,0.0030930207448586072,-0.003324480723131515,0.011349301033693913,0.0,0.0,-0.0,-0.0,-0.0,0.008539109051022536
3402.71,-0.04179172941176471,-0.04476197166640536,-0.04128925662589744,0.002970242254640647,-0.0033104814774051177,0.011410759517064935,0.0,0.0,-0.0,-0.0,-0.0,0.008539109051022536
3403.59,-0.041886094117647064,-0.04457022259139805,-0.041227858389427365,0.002684128473750984,-0.0032946324454716357,0.011480338799018247,0.0,0.0,-0.0,-0.0,-0.0,0.008539109051022536
3404.47,-0.04214452941176472,-0.044341807536775614,-0.04116646015295732,0.0021972781250108944,-0.0032719606185953147,0.01157987102541825,0.0,0.0,-0.0,-0.0,-0.0,0.008538999291248182
3405.35,-0.042540829411764715,-0.04418467648083826,-0.04110506191648724,0.0016438470690735424,-0.0032605657625170313,0.011629895904364538,0.0,0.0,-0.0,-0.0,-0.0,0.008528389851040446
3406.23,-0.04301652941176471,-0.04399554523309987,-0.04104366368001717,0.0009790158213351594,-0.003241994455655211,0.011711426322235064,0.0,0.0,-0.0,-0.0,-0.0,0.00851109861292595
3407.11,-0.04349440000000001,-0.043774896388969385,-0.040982265443547085,0.0002804963889693757,-0.003203473596845397,0.011803163635187797,0.0,0.0,-0.0,-0.0,-0.0,0.008495168524173364
3407.99,-0.04389731176470588,-0.04360070682533042,-0.04092086720707704,-0.0002966049393754652,-0.003187053327649073,0.011860542583407603,0.0,0.0,-0.0,-0.0,-0.0,0.00848923810927572
3408.88,-0.04416698235294118,-0.0434425035190395,-0.04085877126337434,-0.0007244788339016775,-0.003173366345183741,0.011914300681602248,0.0,0.0,-0.0,-0.0,-0.0,0.008472467383318843
3409.76,-0.044277176470588236,-0.043278531780580186,-0.04079737302690426,-0.0009986446900080506,-0.0031505766330271823,0.011981000520197274,0.0,0.0,-0.0,-0.0,-0.0,0.008440628809906052
3410.64,-0.04423775882352941,-0.043118070031763246,-0.04073597479043421,-0.0011196887917661671,-0.0031370081257600943,0.01203420626826684,0.0,0.0,-0.0,-0.0,-0.0,0.008427995542265863
3411.52,-0.04408931176470589,-0.04296707733166951,-0.040674576553964135,-0.0011222344330363773,-0.003110958526738318,0.012077082680525835,0.0,0.0,-0.0,-0.0,-0.0,0.008403741469958294
3412.4,-0.04389018823529412,-0.04280295296262189,-0.04061317831749406,-0.001087235272672231,-0.0030827561202970383,0.01213345318331028,0.0,0.0,-0.0,-0.0,-0.0,0.008376972168659659
3413.28,-0.043699511764705885,-0.04267310630654104,-0.04055178008102398,-0.0010264054581648474,-0.003071361264218755,0.012166803102607806,0.0,0.0,-0.0,-0.0,-0.0,0.00835575328824419
3414.16,-0.04356100588235295,-0.0425356524612174,-0.04049038184455394,-0.0010253534211355497,-0.0030523592188976428,0.0122001530219053,0.0,0.0,-0.0,-0.0,-0.0,0.008334534407828737
3415.04,-0.0434917,-0.04239409466134377,-0.04042898360808386,-0.0010976053386562296,-0.003032840405408951,0.012251736969868237,0.0,0.0,-0.0,-0.0,-0.0,0.008298668685130206
3415.92,-0.04347569411764706,-0.04228092296491167,-0.040367585371613786,-0.001194771152735391,-0.0030214455493306675,0.012268411929517,0.0,0.0,-0.0,-0.0,-0.0,0.008277449804714739
3416.81,-0.04346732352941177,-0.04214444583910875,-0.04030548942791111,-0.0013228776903030162,-0.0029837311084261733,0.012300581756153514,0.0,0.0,-0.0,-0.0,-0.0,0.008236513711388877
3417.69,-0.043402552941176474,-0.04202810433781529,-0.04024409119144103,-0.0013744486033611808,-0.002967064056866725,0.012324971920479268,0.0,0.0,-0.0,-0.0,-0.0,0.008205477235676611
3418.57,-0.0432161705882353,-0.04191908688346266,-0.040182692954970956,-0.0012970837047726405,-0.0029538828307662953,0.012339032748994437,0.0,0.0,-0.0,-0.0,-0.0,0.00818093187429312
3419.45,-0.04286002352941177,-0.0418062252673912,-0.04012129471850091,-0.0010537982620205666,-0.0029204618130621563,0.01235459034707219,0.0,0.0,-0.0,-0.0,-0.0,0.008138494113462213
