wavenumber_cm-1,real,imag,abs_chi,intensity_abs2,phase_rad,imag_smooth,intensity_smooth
2645.14,-0.0173118,-0.0525005,0.055281108160835556,0.0030560009194899995,-1.8893143008807334,-0.04745360470588235,0.005315867364390742
2645.93,-0.0172884,-0.0419936,0.04541311721870675,0.0020623512155199994,-1.9613406092369616,-0.05478275176470588,0.007062980563783094
2646.72,-0.0129431,-0.0293483,0.032075637959361,0.0010288465505000001,-1.9861549483168979,-0.06163678117647059,0.008602852946343094
2647.51,-0.00198812,-0.0158067,0.01593123931225691,0.00025380438602440005,-1.695916337419231,-0.06616098705882353,0.009687494657366624
2648.3,0.0184785,-0.00453399,0.019026613665339923,0.0003620120275700999,-0.2406122310095818,-0.06738272235294118,0.010218143814601916
2649.08,0.0505601,-0.00275159,0.05063491838186471,0.0025638949595381006,-0.05436852953241984,-0.06522482235294118,0.010242526056752507
2649.87,0.0897987,-0.0232339,0.09275570403430723,0.008603620630899998,-0.2531810539262335,-0.06120955176470588,0.010083217163489
2650.66,0.114865,-0.0756227,0.1375236742538898,0.018912760980289996,-0.5822308507409923,-0.058907410588235294,0.010408603140517236
2651.45,0.0960267,-0.140916,0.17052403399195673,0.029078446168890014,-0.9726312790708669,-0.06154263411764706,0.011800771680634883
2652.24,0.0373354,-0.177096,0.1809887435979376,0.032756925309159995,-1.3630187818088777,-0.06917954588235294,0.014282073390311942
2653.03,-0.0258149,-0.169019,0.17097903796375158,0.029233831423010004,-1.7223587574830583,-0.08062068705882354,0.01762800059829606
2653.82,-0.0689017,-0.129412,0.14661142522631038,0.021494910006889998,-2.060043291851182,-0.09432514,0.02161790408392933
2654.61,-0.0819057,-0.07327,0.10989557130517134,0.012077036592489999,-2.411788255685451,-0.10931727529411765,0.02616826184119201
2655.4,-0.0567481,-0.0158162,0.05891094156478914,0.003470499036050001,-2.8697815966922127,-0.12489457000000001,0.03131191132780554
2656.19,0.00996998,0.0157591,0.018648049067138364,0.0003477497340104,-5.276469852919687,-0.14014100588235295,0.037199438771185644
2656.98,0.0917004,-0.0133641,0.09266910234252838,0.00858756252897,-6.427903036989803,-0.15326477647058823,0.0442307769226033
2657.77,0.131361,-0.0972993,0.16347130054382636,0.026722866101490005,-6.920708817360541,-0.16052773529411762,0.05354299162317447
2658.55,0.10952,-0.182328,0.21269257152989618,0.045238129984,-7.313065439663145,-0.15225776617647058,0.06595049689762655
2659.35,0.0549015,-0.236493,0.2427820293004612,0.05894311375125,-7.625873632172997,-0.1294868838235294,0.07124541697691127
2660.14,-0.00658216,-0.262324,0.2624065658596705,0.06885720580626559,-7.879068088732779,-0.11226106029411764,0.07185480951491069
2660.93,-0.0659243,-0.270673,0.278585509780193,0.07760988625949,-8.092887151319987,-0.10011524852941175,0.07239939052575481
2661.72,-0.123514,-0.269348,0.2963174873341093,0.08780405330000002,-8.283936677844881,-0.09140541323529411,0.0738691679240695
2662.51,-0.184496,-0.261941,0.3203932919038724,0.10265186149699998,-8.46761562983609,-0.08471587205882353,0.07646362519136068
2663.3,-0.259719,-0.246338,0.3579614074240406,0.128136369205,-8.665815323031548,-0.07741881911764706,0.08004490434683066
2664.09,-0.370921,-0.199093,0.420975546665124,0.17722041088999999,-8.932161960819409,-0.06490140147058823,0.0842110442950677
2664.88,-0.489904,-0.000326525,0.48990410881577184,0.2400060358345756,-9.424111452735868,-0.04288514852941176,0.08882616966986241
2665.67,-0.280476,0.210009,0.3503863106015987,0.122770566657,-10.06748451788964,-0.010535383823529407,0.0946154718488483
2666.46,-0.155763,0.12382,0.19898116636757363,0.039593504569000015,-10.096417103420908,0.02948808676470588,0.10297182181096831
2667.25,-0.157523,0.0770668,0.1753647261887065,0.03075278719124,-9.879781843812491,0.069642675,0.11497619870895269
2668.04,-0.177394,0.0747972,0.19251818709888163,0.03706325236383999,-9.823803018778543,0.09665020441176471,0.12911561126433563
2668.83,-0.194912,0.097906,0.21811985828896918,0.047576272579999995,-9.89027085092673,0.10408179264705882,0.14102012127239447
2669.62,-0.204164,0.139809,0.24744594435350928,0.06122949537700001,-10.025221213337375,0.09945691029411764,0.14813008631004151
2670.41,-0.199095,0.199432,0.2818012449386979,0.079411941649,-10.21102173793873,0.091401675,0.1502038822669827
2671.21,-0.168712,0.276977,0.32431465812232413,0.10517999747299998,-10.44847648374793,0.0829281455882353,0.1467192695987174
2672.0,-0.0922674,0.367618,0.3790201406610999,0.14365626702675996,-10.7496667430241,0.06707276470588235,0.1374485838196859
2672.79,0.0628373,0.443906,0.44833142105733575,0.20100106310729007,-11.13619542133803,0.04330558823529412,0.13335440224062706
2673.58,0.310284,0.420304,0.5224285722201649,0.2729316130720001,-11.631504528310474,0.027700000000000002,0.1328717073712153
2674.37,0.531474,0.188455,0.5638970648097045,0.31797989970100005,-12.225613185829765,0.015392600000000003,0.13234947372480177
2675.16,0.519354,-0.143011,0.5386842520781538,0.290180723437,-12.835074494966964,0.0008946470588235365,0.13197105629929648
2675.96,0.327929,-0.340564,0.472780358239426,0.22352126713699996,-13.37066724903171,-0.019669588235294112,0.13297840332959296
2676.75,0.128412,-0.383277,0.4042164030231826,0.163390900473,-13.81388381551217,-0.049138588235294114,0.13762894870356002
2677.54,-0.0153257,-0.343143,0.34348507322661054,0.11798199552949,-14.181800000320639,-0.08950641176470589,0.1511759005480306
2678.33,-0.0978552,-0.269868,0.28706162681737873,0.08240437759104001,-14.485025793663832,-0.1366475294117647,0.1885336130292071
2679.13,-0.124582,-0.194033,0.23058508150572105,0.05316947981300002,-14.707944450230372,-0.1499175882352941,0.2621750762411036
2679.92,-0.106642,-0.141475,0.17716571843615797,0.031387691789000007,-14.783087256224118,-0.1322781764705882,0.29876666386726297
2680.71,-0.0663989,-0.132159,0.14790136984561705,0.02187481520221,-14.602746109157643,-0.12402347058823529,0.3017755393582188
2681.5,-0.0340625,-0.171668,0.1750147311806923,0.03063015613024999,-14.333043568731181,-0.11266847058823529,0.29164829521291824
2682.3,-0.0368148,-0.251686,0.2543642508196464,0.06470117209503999,-14.282409665356841,-0.08837476470588236,0.2789765293887747
2683.09,-0.0992438,-0.361164,0.37455142068137987,0.14028876673444,-14.405336733443248,-0.05650776470588236,0.26830688534058705
2683.88,-0.269658,-0.486821,0.5565160581735267,0.3097101230050001,-14.643011798311196,-0.024612176470588238,0.2602245151664694
2684.68,-0.682087,-0.524422,0.8603842802219251,0.7402611096530002,-15.052507448649736,0.003532352941176462,0.2543646144307066
2685.47,-1.17277,0.142027,1.1813387074116382,1.395561141629,-15.828480263460555,0.02690223529411763,0.2504872983232337
2686.26,-0.519476,0.743776,0.9072254696336518,0.8230580527520001,-16.669087621569272,0.04635594117647057,0.24855581334382426
2687.05,-0.0988535,0.560634,0.5692824399349149,0.32408249641825,-17.10422909228863,0.06452370588235293,0.24855931198086192
2687.85,0.0167967,0.38149,0.381859593608554,0.14581674923089,-17.322760377842737,0.08478917647058823,0.2500644489356549
2688.64,0.0432484,0.269982,0.27342403776288576,0.07476070442655998,-17.437600048972296,0.10849841176470587,0.25141737984560514
2689.44,0.0408159,0.201175,0.20527376431928654,0.042137318317809994,-17.478930083223474,0.1359311176470588,0.2503297671856857
2690.23,0.026947,0.158948,0.16121602746935557,0.02599060751300001,-17.44669625434997,0.16868523529411766,0.24432932646149805
2691.02,0.00733515,0.135314,0.1355126673839848,0.018363683021522494,-17.3329149500566,0.20820029411764707,0.22817536738436922
2691.82,-0.015942,0.12742,0.12841340959572722,0.01649000376400001,-17.15429255559609,0.2494819411764706,0.18677657574218332
2692.61,-0.0406548,0.13668,0.14259815974633053,0.02033423516304,-16.989648365216397,0.25082429411764706,0.10712515956600688
2693.41,-0.0585842,0.167377,0.17733349547854743,0.031447168618640005,-16.942072799721647,0.21529288235294117,0.06159337091235981
2694.2,-0.0486613,0.212354,0.21785808094649597,0.04746214343368999,-17.053496946424374,0.1880496,0.045931370533594515
2694.99,-0.00943993,0.231389,0.2315814793963561,0.0536299815994049,-17.237985409203905,0.16790543529411767,0.041297509785050396
