sio2_wat_a_fre.d.real,sio2_wat_a_fre.d.imag
-0.0173118,-0.0525005
-0.0172884,-0.0419936
-0.0129431,-0.0293483
-0.00198812,-0.0158067
0.0184785,-0.00453399
0.0505601,-0.00275159
0.0897987,-0.0232339
0.114865,-0.0756227
0.0960267,-0.140916
0.0373354,-0.177096
-0.0258149,-0.169019
-0.0689017,-0.129412
-0.0819057,-0.07327
-0.0567481,-0.0158162
0.00996998,0.0157591
0.0917004,-0.0133641
0.131361,-0.0972993
0.10952,-0.182328
0.0549015,-0.236493
-0.00658216,-0.262324
-0.0659243,-0.270673
-0.123514,-0.269348
-0.184496,-0.261941
-0.259719,-0.246338
-0.370921,-0.199093
-0.489904,-0.000326525
-0.280476,0.210009
-0.155763,0.12382
-0.157523,0.0770668
-0.177394,0.0747972
-0.194912,0.097906
-0.204164,0.139809
-0.199095,0.199432
-0.168712,0.276977
-0.0922674,0.367618
0.0628373,0.443906
0.310284,0.420304
0.531474,0.188455
0.519354,-0.143011
0.327929,-0.340564
0.128412,-0.383277
-0.0153257,-0.343143
-0.0978552,-0.269868
-0.124582,-0.194033
-0.106642,-0.141475
-0.0663989,-0.132159
-0.0340625,-0.171668
-0.0368148,-0.251686
-0.0992438,-0.361164
-0.269658,-0.486821
-0.682087,-0.524422
-1.17277,0.142027
-0.519476,0.743776
-0.0988535,0.560634
0.0167967,0.38149
0.0432484,0.269982
0.0408159,0.201175
0.026947,0.158948
0.00733515,0.135314
-0.015942,0.12742
-0.0406548,0.13668
-0.0585842,0.167377
-0.0486613,0.212354
-0.00943993,0.231389
0.0113379,0.21467
6.39316e-05,0.195656
-0.0298641,0.184935
-0.0708728,0.177366
-0.119635,0.164847
-0.171726,0.139742
-0.219824,0.0974982
-0.255963,0.0390392
-0.275839,-0.0303287
-0.280695,-0.105424
-0.275264,-0.185019
-0.26478,-0.272977
-0.253411,-0.378313
-0.243684,-0.517008
-0.235473,-0.718864
-0.21898,-1.04876
-0.129909,-1.68184
0.598748,-3.19199
6.33944,-2.27756
2.84751,2.22707
1.33347,1.6334
0.850581,1.20614
0.606416,0.930459
0.421223,0.726504
0.21175,0.547602
-0.130046,0.344514
-0.984347,-0.0349852
-9.15248,-3.9582
3.818,1.55158
2.11213,1.03693
1.58652,0.905092
1.26783,0.865146
0.986165,0.847589
0.692426,0.801759
0.394397,0.687155
0.129137,0.497138
-0.0807764,0.262351
-0.250926,0.0199151
-0.42734,-0.208315
-0.683205,-0.40084
-1.13078,-0.454799
-1.71082,0.0496582
-1.37629,1.0662
-0.517705,1.15361
-0.117826,0.85239
0.0277735,0.595889
0.0784425,0.41093
0.0900192,0.275185
0.0821504,0.171496
0.0619737,0.0897028
0.0318063,0.0246982
-0.00754075,-0.0242871
-0.0528984,-0.0536816
-0.0918852,-0.0600021
-0.104851,-0.0570344
-0.0952774,-0.077135
-0.0907998,-0.131053
-0.104057,-0.20891
-0.130294,-0.307476
-0.156283,-0.434396
-0.155335,-0.600931
-0.0767727,-0.79893
0.126648,-0.953646
0.391227,-0.950646
0.571107,-0.807263
0.631678,-0.638234
0.621502,-0.498182
0.575462,-0.386685
0.496976,-0.295447
0.372711,-0.24177
0.226671,-0.279833
0.153896,-0.40773
0.185343,-0.532623
0.275539,-0.607282
0.394628,-0.62676
0.523434,-0.581607
0.626074,-0.465096
0.659977,-0.30399
0.618498,-0.151972
0.534334,-0.0421369
0.440914,0.0270805
0.35367,0.0710876
0.274453,0.103956
0.198248,0.135151
